Observation,Burn.unit,Plot.no,Fuel.trt,Logger.pos,Profile,GreenFreq,Peak.temp,Ambient.temp,Max.temp.incr,Duration.emp,Total.heat.emp,Notes
1,Sunset,12541,Reduce,Surface,NO,100,75.1,37.52249583,37.57750417,9.333333333,1.650797475,
2,Sunset,12619,Reduce,1Below,PROFILE,100,38.66,32.72729395,5.932706049,,0,
3,Sunset,12619,Reduce,2Below,PROFILE,100,31.04,29.31014099,1.729859013,,0,
4,Sunset,12619,Reduce,4Below,PROFILE,100,30.77,29.29876598,1.471234019,,0,"very quick and small increase, loggers removed at 3:11, before soil is cool"
5,Sunset,12619,Reduce,Above,PROFILE,100,255.8736364,61.19254636,194.68109,11.21666667,6.60870404,
6,Sunset,12619,Reduce,Surface,PROFILE,100,53.16545455,40.7324458,12.43300874,2.166666667,0.146186616,print?
7,Sunset,12621,Increase,Surface,NO,2,670.6636364,25.66670372,644.9969326,54.55,118.4836336,
8,Sunset,12622,Control,Surface,NO,98,195.97,28.03996109,167.9300389,13.21666667,6.142521717,
9,Sunset,12623,Increase,Surface,NO,8,546.6881818,26.59172874,520.0964531,68.76666667,138.0769836,
10,Sunset,12624,Increase,1Below,PROFILE,29,73.14818182,25.7725024,47.37567942,,0,
11,Sunset,12624,Increase,2Below,PROFILE,29,77.65,25.32017788,52.32982212,,0,
12,Sunset,12624,Increase,4Below,PROFILE,29,53.17,24.95817121,28.21182879,,0,"loggers removed at 3:20, before soil is cool"
13,Sunset,12624,Increase,Above,PROFILE,29,622.97,29.86643135,593.1035686,48.18333333,70.52281869,
14,Sunset,12624,Increase,Surface,PROFILE,29,451.96,26.51801556,425.4419844,61.13333333,92.40383889,
15,Sunset,12628,Reduce,Surface,NO,100,50.39,43.43844358,6.95155642,5.866666667,0.421474747,
16,Sunset,12630,Reduce,1Below,PROFILE,100,35.34,31.56256253,3.777437465,,0,
17,Sunset,12630,Reduce,2Below,PROFILE,100,31.68,30.75805599,0.921944009,,0,"very slight decrease/increase logger removed 3:27pm, ""fuels not burned"""
18,Sunset,12630,Reduce,4Below,PROFILE,100,30.34,30.11802112,0.221978877,,0,"temp spike at 1:27, when fire hits plot, temp drop and increases again"
19,Sunset,12630,Reduce,Above,PROFILE,100,86.56636364,44.89612563,41.67023801,7.65,1.893239141,big cooling event happens (12:40) before fire is started (around 1pm)
20,Sunset,12630,Reduce,Surface,PROFILE,100,66.12363636,49.54896609,16.57467027,7.45,0.949760606,"plot temp >60 before fire is started, max not much higher"
21,Sunset,12635,Reduce,Surface,NO,100,66.33181818,44.4659144,21.86590378,3.933333333,0.53317904,
