BurnUnit,Plot,Treatment,Code,Species,Family,GrowthHabit,FunctionalGroup,Unique,Individuals,Notes
Sunset,54,fuel control,ACAGRA,Acalypha gracilens,Euphorbiaceae,Annual,Forb,1,2,NULL
Sunset,70,fuel addition,ACAGRA,Acalypha gracilens,Euphorbiaceae,Annual,Forb,1,1,NULL
Sunset,72,fuel control,ACAGRA,Acalypha gracilens,Euphorbiaceae,Annual,Forb,1,3,NULL
TallWinds,23,fuel control,ACAGRA,Acalypha gracilens,Euphorbiaceae,Annual,Forb,1,1,NULL
TallWinds,38,fuel addition,ACAGRA,Acalypha gracilens,Euphorbiaceae,Annual,Forb,1,1,NULL
Sunset,53,fuel addition,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,2,NULL
Sunset,54,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,3,NULL
Sunset,61,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,2,NULL
Sunset,70,fuel addition,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
Sunset,74,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
Sunset,80,fuel addition,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
Sunset,82,fuel addition,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
Sunset,83,fuel addition,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
TallWinds,27,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,4,NULL
TallWinds,33,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
TallWinds,35,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
TallWinds,39,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
TallWinds,43,fuel addition,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,1,NULL
TallWinds,44,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,4,NULL
TallWinds,49,fuel control,DICOVA,Dichanthelium ovale,Poaceae,Perennial,C3 Grass,1,2,NULL
Sunset,54,fuel control,DICSPH,Dichanthelium sphaerocarpon,Poaceae,Perennial,C3 Grass,1,2,NULL
Sunset,54,fuel control,DICSTR,Dichanthelium strigosum,Poaceae,Perennial,C3 Grass,1,1,NULL
Sunset,71,fuel addition,DICSTR,Dichanthelium strigosum,Poaceae,Perennial,C3 Grass,1,2,NULL
Sunset,79,fuel control,DICSTR,Dichanthelium strigosum,Poaceae,Perennial,C3 Grass,1,4,NULL
Sunset,80,fuel addition,DICSTR,Dichanthelium strigosum,Poaceae,Perennial,C3 Grass,1,3,NULL
Sunset,82,fuel addition,DICSTR,Dichanthelium strigosum,Poaceae,Perennial,C3 Grass,1,2,NULL
